Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
cgl,927.8178471912858,1.0185099489015008,257.93918918918916,0.2540628385698808,0.9185954890180242,135.37333333333333,124.43073289541009,0.9191672379745648,0.009571559619221539,0.028397445269796595,2.9668566460965295,160.4511634728197,221.25095104982748,1.3789301757684498,161.8819577365567,109.10457222014357,0.6739761104056949,58.9,50.95550346462422,0.8651189043229918,2.0964160198348343,0.8941742770838069,0.42652520712671055,702.160145475927,892.1981429731177,1.2706476559822149,1531074796045
ck,4922.243215418797,4.8661188114998515,128.04109589041096,0.1627716947213597,0.9594705017159667,40.79333333333334,58.32818605861913,1.4298460383711176,0.040743663909376414,0.055508169336655505,1.3623754962273118,114.07991705216143,161.49806788633384,1.4156573046287466,109.18455808737006,62.33402919434456,0.5709051745619975,24.94,28.308827833969627,1.1350772988760875,1.4841749448867974,0.4924360021870548,0.33179107616899867,22.307807583332064,27.451621330163686,1.2305835626211414,1531074867465
cm,405.20378696082275,0.49927971315563296,80.96402877697842,0.7898199696334322,0.4133468295857132,92.20666666666666,80.17516628538345,0.8695159383130301,0.0043540601152999596,0.014581417032490331,3.3489241412289936,42.706744868035194,123.03720534224026,2.880978302664556,31.443030845762564,43.064719166752674,1.369610944250189,25.886666666666667,24.91814243121308,0.9625859811181977,4.638296624921512,4.433423275291353,0.9558300457695229,1398.6031976240693,1643.0577957758521,1.1747848128526086,1531074878485
co,18982.978393222216,17.99979074813177,177.1768707482993,0.286650223523971,0.9105133343610298,86.49333333333334,122.33548118005486,1.4143920284421325,0.12103805890944103,0.15941447665796024,1.3170607501003624,134.51158183480646,221.53674974440727,1.6469715597908612,116.05010875927707,83.9344979564596,0.7232608297728101,36.733333333333334,44.47616090546587,1.2107847796406315,1.9250895954615939,1.4031241731784554,0.7288617508952964,14.240571044443271,19.09480219967471,1.3408733498173573,1531075015661
d,1446.4530250627301,1.490584479169564,139.59712230215828,0.6696428571428571,0.5089755639097744,141.86666666666667,98.71964793742372,0.6958621800100356,0.01038824881843914,0.017120025085738566,1.648018389331465,68.35235650956604,176.39249948818966,2.5806352333076217,61.393890280334155,82.67461453025982,1.3466260918269637,46.50666666666667,36.74792450677392,0.7901646611261594,3.615091792522012,2.0398051513042783,0.5642471252109591,508.44347070369327,529.8588015876455,1.0421193940288251,1531075049169
diy,637.7887976439378,0.6833709282051766,346.15333333333336,0.17976408041202854,0.9764080412028576,40.126666666666665,55.513277290712665,1.3834510040882038,0.00613324359056571,0.00807856668759326,1.3171768850041907,182.61744204895444,233.85291695125974,1.2805617816537511,181.21204152633177,90.16295637715636,0.4975549947879972,22.26,23.906883248693592,1.0739839734363699,1.6274734628935665,0.6282247876908076,0.3860123080433245,169.58266114813708,252.2111046110575,1.4872458239745467,1531075077819
e,392.612877534519,0.4839740384978592,133.7560975609756,0.7620249331247161,0.42961691818503,132.08666666666667,95.31638101023815,0.7216200046199829,0.0033588102779263606,0.006401446060314924,1.9058671168134584,43.961929569703955,159.06205114714896,3.6181771979536905,35.95397273195869,78.53513956230596,2.18432439018061,42.89333333333334,38.994896532181656,0.9091132234733057,4.494905898793101,4.129706400961801,0.9187525821331749,1749.2156169185212,1793.7645194904683,1.0254679309634944,1531075095939
f,166.5191372442394,0.19857976275721193,55.666666666666664,0,1,1.3666666666666665,1.5380362660079099,1.1253923897618852,0.004108749075294726,0.007915091687354738,1.926399383926111,42.80281690140845,57.104702383591736,1.33413421166009,30.508333333333336,39.49808568966537,1.2946654692050927,2.2333333333333334,1.4067298564006128,0.6298790401793788,1.05,0.15000000000000008,0.14285714285714293,9.879820925924513,5.614370910921177,0.5682664648494938,1531075107189
fa,2365.1510739299183,2.2739478760233856,134.34265734265733,0.28911042944785276,0.8923824130879345,52.16,78.46528574259234,1.5043191285006199,0.014903664176997155,0.01979800251372781,1.3283983239695343,101.34951091045899,215.28602043227428,2.124193974872526,89.42730105956855,78.08944092466247,0.873217015379299,30.713333333333335,41.239679382307884,1.3427288707067901,1.4581562344584016,0.6189047224706833,0.4244433537676168,53.67704646668168,72.6343878104734,1.3531740770341913,1531075156462
fit,13049.5800835912,12.130679343449264,196.0202702702703,0.21200580340950306,0.9577439245556766,36.76,60.3876013764415,1.6427530298270268,0.11177339423434395,0.12278974604036634,1.0985596964419413,122.20303672316385,187.43539777276848,1.5338031099618303,128.53395739263752,110.49681710854924,0.8596702330654183,24.22,36.34242149334573,1.5005128609969336,1.3700661604631745,0.5332799282857779,0.38923662497108413,5.905901146296219,7.931612847642281,1.3429979017878502,1531075276505
