Board,commentsAnalyzed,sentimentScore_mean,sentimentComparative_mean,commentLength_mean,text_ratio_boomer,text_ratio_trump,text_ratio_thank,text_ratio_meme,text_ratio_sjw,text_ratio_kek,text_ratio_/pol/,text_ratio_eddit,posts_ratio_boomer,posts_ratio_trump,posts_ratio_thank,posts_ratio_meme,posts_ratio_sjw,posts_ratio_kek,posts_ratio_/pol/,posts_ratio_eddit,created
i,10019,0.2431380377283162,0.046737820632993345,65.55983631100908,0.000009134589034839323,0.000022836472587098306,0.0028088861282130916,0.00030448630116131076,0,0.00018725907521420612,0.000022836472587098306,0.00005328510270322938,0.00009981036031540073,0.00019962072063080147,0.03363609142629005,0.004691086934823834,0,0.00409222477293143,0.00029943108094620223,0.0006986725222078052,1531236688891
ic,6680,0.25074850299401197,0.021128548688104837,133.6559880239521,0.00003360132254805549,0.00005600220424675915,0.0011424449666338867,0.0004748986920125176,0.000010080396764416647,0.00010752423215377758,0.00003360132254805549,0.0001120044084935183,0.0007485029940119761,0.0014970059880239522,0.028892215568862276,0.01407185628742515,0.0004491017964071856,0.004790419161676647,0.0008982035928143712,0.002245508982035928,1531236705917
int,42385,-0.3085997404742244,-0.021232518383638217,81.0343281821399,0.0002795052756620781,0.00014411990776325902,0.00039305429389979734,0.00034355856800130435,0.000009607993850883936,0.0001642093494514709,0.00010918174830549927,0.00011646053152586589,0.003491801344815383,0.0020762062050253627,0.006134245605756754,0.006488144390704258,0.00025952577562817034,0.004364751681019229,0.0016515276630883566,0.0017459006724076915,1531236836474
jp,18454,0.16007369675951014,0.020384071138195858,69.81792565297496,0.00007916673134536874,0.000003880722124772978,0.0009352540320702877,0.0002949348814827463,0,0.000046568665497275735,0.000023284332748637867,0.00010866021949364337,0.0008128319063617644,0.00005418879375745096,0.01240923377045627,0.00509374661320039,0,0.0010837758751490192,0.00032513276254470577,0.0014630974314511758,1531236874058
k,14697,-0.8075117370892019,-0.03398486129990502,128.9044022589644,0.0002533639340662589,0.0002691991799454001,0.0004750573763742354,0.0003040367208795107,0.00000791762293957059,0.00011876434409355885,0.00021641502701492946,0.00012668196703312945,0.005103082261686058,0.0059876165203783084,0.012111315234401579,0.009253589167857386,0.0003402054841124039,0.005035041164863577,0.004762876777573655,0.003061849357011635,1531236931077
lgbt,10954,-0.3163228044549936,-0.01466197361861388,160.6618586817601,0.000047730255868264495,0.00012500781298831177,0.00047730255868264494,0.0002136497167436601,0.000040911647887083855,0.00006307212382592093,0.00021308149941189506,0.0001051202063765349,0.0012780719371918933,0.003469052400949425,0.014789118130363337,0.007851013328464489,0.0020996896111009676,0.0032864706956362974,0.005660032864706956,0.002738725579696914,1531236971098
lit,6587,0.21451343555488084,0.006699421388490834,197.91893122817672,0.00023011570217505362,0.00007286997235543365,0.0004909134979734477,0.0004080718451904284,0.000025312727239255897,0.00008054049576126876,0.0001457399447108673,0.00014957520641378484,0.005768938818885684,0.0025808410505541216,0.017914073174434494,0.01624411720054653,0.001518141794443601,0.005313496280552604,0.005313496280552604,0.005465310459996963,1531237020181
m,11877,-0.06702029131935675,-0.00036961092816541424,129.86663298812832,0.000019449879605245245,0.000016208233004371038,0.00053163004254337,0.0001815322096489556,0.000015559903684196194,0.000019449879605245245,0.000048624699013113106,0.00003889975921049049,0.00042098172939294433,0.00042098172939294433,0.01338721899469563,0.005641155173865454,0.0006735707670287109,0.0008419634587858887,0.0011787488423002442,0.0010103561505430665,1531237057195
mlp,22120,-0.010623869801084991,0.011459572954554145,207.52744122965643,0.000009149316186643437,0.000008713634463469939,0.0005740106702810823,0.00010194952322259829,0.000005228180678081964,0.0000575099874589016,0.00002723010769834356,0.00003703294646974724,0.00031645569620253165,0.00031645569620253165,0.021835443037974682,0.00488245931283906,0.00031645569620253165,0.003887884267631103,0.0010397830018083183,0.0014014466546112116,1531237087280
mu,22691,0.005817284385879864,0.003979586694222516,77.42712969899961,0.00030394462060710374,0.000051226621450635466,0.0007314023173785175,0.0005395870792800269,0.000035858635015444824,0.0001553874184002609,0.00006830216193418062,0.00021629017945823864,0.003701908245559914,0.0007932660526199814,0.01110572473667974,0.009475122295183113,0.0008373363888766471,0.0038341192543299104,0.0010576880701599753,0.0031289938742232602,1531237160321
n,10044,-0.050975706889685383,-0.0052360063768802844,188.42672242134608,0.00012681249398961616,0.00006076432003669108,0.0003751536280526145,0.00032125831810702764,0.000004755468524610607,0.00006023593464506768,0.00006076432003669108,0.000034345050455521045,0.003783353245718837,0.002090800477897252,0.013639984070091597,0.013639984070091597,0.0002986857825567503,0.0036837913181999205,0.002190362405416169,0.001294305057745918,1531237163340
news,5953,-2.150344364186125,-0.05237433556239135,259.71678145472873,0.00014746839454780886,0.0020697318533025805,0.00029105604187067537,0.00014746839454780886,0.000013582615287298186,0.00006015158198660625,0.00028135417380831956,0.00009378472460277318,0.005543423483957669,0.07273643541071728,0.01427851503443642,0.008231143961028054,0.0011758777087182933,0.00520745842432387,0.012934654795901225,0.004703510834873173,1531237174340
o,8535,-0.1289982425307557,-0.004168786609812994,120.59929701230229,0.0004838169073607205,0.000024287997357465888,0.0005586239392217154,0.000373063639410676,0,0.0000903513501697731,0.000048575994714931777,0.00008743679048687719,0.008670181605155243,0.0005858230814294083,0.013239601640304627,0.010193321616871705,0,0.0035149384885764497,0.0011716461628588166,0.00210896309314587,1531240830048
out,8258,-0.044683942843303466,-0.008875965442019153,167.854201985953,0.00014717128140014717,0.000021642835500021643,0.0005987851155005988,0.00019334266380019335,0.000006492850650006493,0.00012336416235012336,0.00011182131675011182,0.00006132136725006133,0.0036328408815693874,0.0007265681763138775,0.01961734076047469,0.00787115524340034,0.00036328408815693874,0.006902397674981835,0.0020586098328893195,0.0019375151368370065,1531240852634
p,8052,0.45678092399403875,0.011718211365228449,154.20765027322403,0.00016912570066361703,0.000032214419174022295,0.0010107274015849494,0.00033825140132723406,0.000002416081438051672,0.0000773146060176535,0.000032214419174022295,0.00004832162876103344,0.0031048186785891706,0.0008693492300049677,0.030054644808743168,0.011922503725782414,0.00012419274714356682,0.003974167908594138,0.0008693492300049677,0.0014903129657228018,1531240884651
po,3790,0.6134564643799473,0.06568349549230519,107.21451187335093,0.000014765850525295133,0,0.0025348043401756644,0.00012797070455255783,0.00003691462631323783,0.00008859510315177079,0.00031992676138139456,0.00006152437718872972,0.0002638522427440633,0,0.050395778364116094,0.0031662269129287598,0.0013192612137203166,0.0031662269129287598,0.006860158311345646,0.0013192612137203166,1531240894672
pol,104019,-1.0211884367279054,-0.04853726937915767,128.14213749411167,0.0002903396351038474,0.0015391001586964935,0.0003679886072827834,0.00044413711623120846,0.00004388854949244205,0.00028786387077350454,0.000546918847521201,0.00017030257666298028,0.005441313606168104,0.028331362539536047,0.009200242263432643,0.01287264826618214,0.0017208394620213615,0.011901671809957796,0.01259385304607812,0.003749315028985089,1531241097438
qa,6159,-0.04789738593927586,0.013333437536913082,57.39064783244033,0.00032251767481731073,0.000056582048213563284,0.0006931300906161502,0.0005318712532074949,0,0.00002546192169610348,0.0002970557531212072,0.0003394922892813797,0.001623640201331385,0.000649456080532554,0.007955836986523787,0.005682740704659847,0,0.0004870920603994155,0.00324728040266277,0.001623640201331385,1531241133467
qst,27880,-0.30803443328550933,0.003838088052110103,300.26205164992825,0.0000014334680872972508,0.000009556453915315006,0.0005070893358814025,0.000026758070962882018,0.0000014334680872972508,0.000012184478742026632,0.0000017918351091215636,0,0.00007173601147776183,0.0005380200860832137,0.027546628407460545,0.0020086083213773313,0.00014347202295552367,0.0012195121951219512,0.00010760401721664275,0,1531241152744
